Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
Magnifico,Fourth Level,No,1151133,Trafalgar,Houston,Netherlands,NULL,KWPN,No,NULL,NULL,2022,2023
Scintillating RH,Prix St. Georges,No,1150156,Sezuan,Florencio I,USA,Nora Batchelder,Hanoverian,No,NULL,NULL,2022,2024
Hosanna,Prix St. Georges,No,1146135,Hotline,Sandro Hit,USA,Maurine Swanson,Oldenburg,No,NULL,NULL,2021,2024
Dreamliner,Fourth Level,No,1141549,Revolution,De Niro,Norway,JJ Horses,Danish Warmblood,No,NULL,NULL,2020,2024
Strike,Third Level,No,1158656,St. Schufro,Zack,Denmark,Marianne Vaever and Matthias Tourbier,Danish Warmblood,No,NULL,NULL,2023,2023
Makanabria DG,Fourth Level,No,1145365,Rock Forever,Belissimo M,USA,DG Bar Ranch,Danish Warmblood,No,NULL,NULL,2022,2024
Lindholm's Quick Step,Second Level,No,1157309,Quaterhit,Romanov,Denmark,Stald Lindholm,Danish Warmblood,No,NULL,NULL,2023,2024
Nero,FEI 6 Year Old,No,1150691,Desperado,Negro,Netherlands,E. Lalkens,KWPN,No,NULL,NULL,2023,2024
Saskatoon OMF,FEI 6 Year Old,No,1148307,San Amour,Don Frederico,Great Britain,Lindsey Roberts,Hanoverian,No,NULL,NULL,2023,2024
Figardo,FEI 6 Year Old,No,1154513,Furst Wilhelm,Furst Piccolo,Germany,Lisa Kamphus,Westfalen,No,NULL,NULL,2023,2024
Baileys on Ice,FEI 6 Year Old,No,1159749,Benicio,Florestan I,Germany,Zuchtof Hahler,Westfalen,No,NULL,NULL,2023,2024
Bondi Blue,Third Level,No,1152260,Benicio,Rockwell,Germany,Ewald Descher,Westfalen,No,NULL,NULL,2023,2024
New Adventure DG,Third Level,No,1152524,Don Schufro,Zack,USA,Oak Hill Ranch,KWPN,No,NULL,NULL,2022,2024
Notilas MVS,Third Level,No,1153400,Totilas,Westpoint,USA,Jackie Ahl-Eckhaus,KWPN,No,NULL,NULL,2022,2024
Zapatero,FEI 5 Year Old,No,1158280,Zoom,Floriscount,Germany,Stefan Schroeder,Hanoverian,No,NULL,NULL,2023,2024
Deambulo PWD,FEI 5 Year Old,No,1158399,Don Martillo,Finest,Germany,NULL,Hanoverian,No,NULL,NULL,2023,2024
MW One More Dream,FEI 5 Year Old,No,1159260,Sezuan,Romanov,Netherlands,L. de Heer,KWPN,No,NULL,NULL,2023,2024
Serupgaards Cezanne,Second Level,No,1157634,Toerveslettens Sylvester,Romanov,Denmark,Heidi Bickham,Danish Warmblood,No,NULL,NULL,2023,2024
MW Mastermind,FEI 5 Year Old,No,1159259,Morricone,Sir Donnerhall I,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2023,2024
Oxford B,FEI 5 Year Old,No,1155240,Romanov,Ferro,Netherlands,HHJM Rovers,KWPN,No,NULL,NULL,2022,2024
Denmark HTF,FEI 5 Year Old,No,1154652,Desperado,Negro,USA,Hilltop Farm,Hanoverian,No,NULL,NULL,2023,2024
Dromanov M.R.,FEI 5 Year Old,No,1158023,Don Romanov,Bonifatius,Germany,Osmers GBR,Hanoverian,No,NULL,NULL,2023,2024
Francetto,USEF 4 Year Old,No,1159228,Franklin,Sezuan,Denmark,Henrik Hansen,Danish Warmblood,No,NULL,NULL,2023,2023
Splendido,Second Level,No,1152094,Secret,For Romance,Germany,Christine Feichtinger,Hanoverian,No,NULL,NULL,2023,2024
Osiris,FEI 5 Year Old,No,1155974,Joop TC,Westenwind,Netherlands,J. Bos,KWPN,No,NULL,NULL,2023,2024
Executive Pumpking,Second Level,No,1155930,Escolar,Belissimo M,Germany,NULL,Hanoverian,No,NULL,NULL,2023,2024
Zooey,Second Level,No,1158014,Zoom,Romanov,Germany,NULL,Westfalen,No,NULL,NULL,2023,2024
Best Friend,USEF 4 Year Old,No,1159115,By Your Side,Finest,Germany,NULL,Hanoverian,No,NULL,NULL,2023,2023
Oscar HF,Second Level,No,1156646,Benicio,Krack C,USA,Hamar Farms,KWPN,No,NULL,NULL,2023,2024
Maisie CF,USEF 4 Year Old,No,1149166,Davos CF,Licotus,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2023,2023
Famebria DG,USEF 4 Year Old,No,1098604,Idocus,Krack C,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2014,2014
DG Feikje,USEF 4 Year Old,No,1107820,Contango,Flemmingh,USA,Klaas and Mares Vanderploeg,KWPN,No,NULL,NULL,2014,2014
Florante YF,I-1,No,1093052,Florestan I,Jazz,USA,Judy Yancey,Oldenburg,No,NULL,NULL,2014,2024
Dresscode,Third Level,No,1108011,Danone I,Ex Libris,Germany,NULL,Oldenburg,No,NULL,NULL,2014,2024
Won Ruby,Third Level,No,1107067,Widmark,Don Frederico,USA,Meg Williams,Hanoverian,No,NULL,NULL,2014,2018
Focus DG,USEF 4 Year Old,No,1108015,Idocus,Remador II,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2014,2014
Bojing,I-1,No,1107814,Benetton Dream,Weltmeyer,Germany,Hof Kleemeyer,Hanoverian,No,NULL,NULL,2014,2018
Solaris,First Level,No,1108181,Sarkozy,Donnerhall,Germany,Henning Schulze,Hanoverian,No,NULL,NULL,2014,2015
Floris R,I-1,Yes,1105607,Florencio I,Krack C,Netherlands,K. Reitsma,KWPN,No,NULL,NULL,2014,2024
UB 40,Prix St. Georges,No,1042261,Olivi,Michelangelo,Netherlands,Van Os Family,KWPN,No,NULL,NULL,2006,2010
Bakara,I-1,No,1083670,Sir Sinclair,Idocus,USA,Janice Kissel,KWPN,No,NULL,NULL,2011,2024
Bonameer DG,FEI 5 Year Old,No,1085616,Devon Heir,Wanroij,USA,Carolyn P. Smith,KWPN,No,NULL,NULL,2010,2015
Showdown,Grand Prix,No,1081615,Sandro Hit,Glorieux,Canada,Louise Palmer,Hanoverian,No,NULL,61.278,2010,2024
Sanceo,Grand Prix,Yes,1083924,San Remo,Ramiro's Son II,Germany,Gerhard Dustmann,Hanoverian,Yes,Olympic Games and Pan American Games,73.21,2010,2021
Pharaoh DG,USEF 4 Year Old,No,1162528,Koning DG,Parcival,USA,DG Bar Ranch,KWPN,No,NULL,NULL,2024,2024
Sonnenberg's Paris,First Level,No,1164085,Vivino,Furstenball,USA,Sonnenberg Farm,KWPN,No,NULL,NULL,2024,2024
MW Virtuous,USEF 4 Year Old,No,1164743,Valverde,Royal Prince,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2024,2024
Sonnenberg's PrimRosa,First Level,No,1165137,Secret,Ampere,USA,Sonnenberg Farm,KWPN,No,NULL,NULL,2024,2024
Vhenti,USEF 4 Year Old,No,1163617,Vitalis,Romanov,USA,Maurine Swanson,Oldenburg,No,NULL,NULL,2024,2024
Fiorenza HSR,USEF 4 Year Old,No,1163584,Franklin,Sandro Hit,USA,Hidden Springs Ranch,Oldenburg,No,NULL,NULL,2024,2024
DiVinci's Dream,USEF 4 Year Old,No,1162780,Davos CF,Fidertanz,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2024,2024
Deauville CF,USEF 4 Year Old,No,1161438,Davos CF,DiMaggio,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2023,2024
Favorite Song PS,USEF 4 Year Old,No,1160348,Fynch Hatton,Diamond Hit,Germany,Paul Schockemoehle,Oldenburg,No,NULL,NULL,2024,2024
Sabella RS,First Level,No,1147547,Secret,Voice,Germany,Roxy Schippers,Hanoverian,No,NULL,NULL,2024,2024
Salinger H20,USEF 4 Year Old,No,1148742,Secret,Canto,USA,Kendra Hansis,Oldenburg,No,NULL,NULL,2024,2024
MW Sacred,USEF 4 Year Old,No,1165516,Secret,Sir Donnerhall I,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2024,2024
Presley,USEF 4 Year Old,No,1162869,Ibiza,Sir Sinclair,USA,Inspo,KWPN,No,NULL,NULL,2024,2024
Fuerst Dream F.O.D.,First Level,No,1162040,Fuerst Bellagio FOD,Negro,USA,Hilltop Farm,Hanoverian,No,NULL,NULL,2024,2024
Optima,FEI 5 Year Old,No,1155663,Furst Toto,Tango,Netherlands,Unknown,KWPN,No,NULL,NULL,2022,2024
Twan Vita Nova,FEI 5 Year Old,No,1162692,Secret,Gribaldi,Belgium,Frans Dieter,Belgian Warmblood,No,NULL,NULL,2024,2024
Hukam Singh,FEI 5 Year Old,No,1164364,Vitalis,Sorento,Netherlands,Stal Ribbels,KWPN,No,NULL,NULL,2024,2024
Ophelia BSH,FEI 5 Year Old,No,1160369,Uthopia,Sir Sinclair,USA,Jill Blasland,KWPN,No,NULL,NULL,2023,2024
Matchmaker HSR,FEI 5 Year Old,No,1157198,Morricone,Royal Diamond,USA,Hidden Springs Ranch,Oldenburg,No,NULL,NULL,2023,2024
JJ Fellini,FEI 5 Year Old,No,1163454,Franklin,Sandro Hit,Norway,JJ Horses,Danish Warmblood,No,NULL,NULL,2024,2024
Furst Adventure,FEI 5 Year Old,No,1157718,Furstenball,Benetton Dream,USA,David Wightman,Hanoverian,No,NULL,NULL,2023,2024
Zaunkonig,FEI 6 Year Old,No,1161250,Zack,De Niro,Germany,Klaus Grosse Lembeck,Westfalen,No,NULL,NULL,2024,2024
MW Mercury,FEI 6 Year Old,No,1153298,Morricone,Sir Donnerhall I,USA,Jennifer Vanover,Oldenburg,No,NULL,NULL,2024,2024
Sybil Nobel,FEI 6 Year Old,No,1164102,Franklin,Don Schufro,Germany,Ulrich Stadelhofer,Danish Warmblood,No,NULL,NULL,2024,2024
Famosa WF,Third Level,No,1157779,Fursten-Look,St. Moritz,Germany,Mirko Lade,Hanoverian,No,NULL,NULL,2023,2024
Nation VDL,Fourth Level,No,1161771,Desperados,Zonik,Netherlands,VDL Stud,KWPN,No,NULL,NULL,2023,2024
Nibulandra,Third Level,No,1157318,Intro K,Cover Story,Netherlands,H. Vleems,KWPN,No,NULL,NULL,2023,2024
Geistfeuer,Third Level,No,1144328,Grand Galaxy Win,Florencio I,USA,Alice Tarjan,Oldenburg,No,NULL,NULL,2022,2024
Secret Royal 3,Fourth Level,No,1164500,Secret,Rubin Royal,Germany,Friedrich Timmermann,Oldenburg,No,NULL,NULL,2024,2024
Scotaloo,FEI 6 Year Old,No,1164712,Secret,Furst Nymphenburg,Denmark,Helgstrand Dressage,Hanoverian,No,NULL,NULL,2024,2024
Neil,FEI 6 Year Old,No,1164624,Governor,Vivaldi,Netherlands,Ad Valk,KWPN,No,NULL,NULL,2024,2024
Belafonte MF,Fourth Level,No,1138445,Belantis,Don Principe,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2021,2024
Mynanke A,Fourth Level,No,1143074,Hennessy,Ferro,Netherlands,ADA Augustinus,KWPN,No,NULL,NULL,2020,2024
Louisville HTF,I-1,No,1127743,Lord Leatherdale,Negro,USA,Hilltop Farm,Hanoverian,No,NULL,NULL,2021,2024
I Spy,Fourth Level,No,1152626,Ibiza,Foundation,Germany,Zuchtstall Korschofsky,Oldenburg,No,NULL,NULL,2022,2024
Cantinero Los Encinos,Fourth Level,No,1150930,Sarape Mor,Celto,USA,Hacienda Los Encinos,PRE,No,NULL,NULL,2022,2024
Viconte,FEI 7 Year Old,No,1163681,Vivaldi,Sandro Hit,Germany,Klaus Tuchen,Oldenburg,No,NULL,NULL,2024,2024
Ikon,Fourth Level,No,1152009,Ibiza,Hotline,Germany,Gestut Byager,Oldenburg,No,NULL,NULL,2022,2024
Heiline's St. Coeur,I-1,No,1155479,St. Schufro,De Niro,Denmark,Stald Heiline,Danish Warmblood,No,NULL,NULL,2023,2024
Bianka SQF,Prix St. Georges,No,1139103,Bon Coeur,Soliman de Hus,Germany,Rolf Deecke,Hanoverian,No,NULL,NULL,2020,2024
Ronbjerg's Santiago,I-1,No,1163679,Bogegarden's Santiago,Don Schufro,Denmark,Stald Ronbjerg,Danish Warmblood,No,NULL,NULL,2024,2024
Kanjer,Prix St. Georges,No,1134416,Geniaal,Gouverneur,Netherlands,ZG T.J.M.Coomans u.Fam.Triemstra,KWPN,No,NULL,NULL,2019,2024
Veneziano's Rhapsody,Prix St. Georges,No,1161429,Veneziano,DiMaggio,Germany,Christin Boekhoff,Hanoverian,No,NULL,NULL,2023,2024
Belvedere NRW,Prix St. Georges,No,1152669,Belissimo M,Danone I,Germany,Jurgen de Baey,Westfalen,No,NULL,NULL,2022,2024
Limited Edition,I-1,No,1121827,Dante Weltino,Contango,USA,Gwen Blake,KWPN,No,NULL,NULL,2020,2024
Kingstown,I-2,Yes,1136591,El Capone,United,Netherlands,G.C. Van der Koppel,KWPN,No,NULL,NULL,2019,2024
Topaz Diamant,Grand Prix,No,1162815,Sir Diamant,Kvarz,Ukraine,Unknown,Russian Warmblood,No,NULL,66.735,2024,2024
